movieId,title,genres,clean_title,countries,country_flag_urls,providers,provider_icon_urls
0,Toy Story (1995),"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",toystory1995,['India'],['http://www.geognos.com/api/en/countries/flag/IN.png'],"['Amazon Video', 'HBO Max']","['https://img.icons8.com/material-rounded/452/video-playlist.png', 'https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png']"
1,Jumanji (1995),"['Adventure', 'Children', 'Fantasy']",jumanji1995,"['Portugal', 'France', 'China']","['http://www.geognos.com/api/en/countries/flag/PT.png', 'http://www.geognos.com/api/en/countries/flag/FR.png', 'http://www.geognos.com/api/en/countries/flag/CN.png']","['HBO Max', 'Amazon Video']","['https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png', 'https://img.icons8.com/material-rounded/452/video-playlist.png']"
2,Grumpier Old Men (1995),"['Comedy', 'Romance']",grumpieroldmen1995,"['Portugal', 'Brazil', 'United Kingdom', 'India']","['http://www.geognos.com/api/en/countries/flag/PT.png', 'http://www.geognos.com/api/en/countries/flag/BR.png', 'http://www.geognos.com/api/en/countries/flag/GB.png', 'http://www.geognos.com/api/en/countries/flag/IN.png']","['Amazon Video', 'Netflix', 'Youtube']","['https://img.icons8.com/material-rounded/452/video-playlist.png', 'https://img.icons8.com/office/50/000000/no-video--v2.png', 'https://img.icons8.com/ios/344/video-message.png']"
3,Waiting to Exhale (1995),"['Comedy', 'Drama', 'Romance']",waitingtoexhale1995,['India'],['http://www.geognos.com/api/en/countries/flag/IN.png'],"['Netflix', 'Amazon Video', 'Youtube']","['https://img.icons8.com/office/50/000000/no-video--v2.png', 'https://img.icons8.com/material-rounded/452/video-playlist.png', 'https://img.icons8.com/ios/344/video-message.png']"
4,Father of the Bride Part II (1995),['Comedy'],fatherofthebridepartii1995,"['France', 'China', 'Brazil']","['http://www.geognos.com/api/en/countries/flag/FR.png', 'http://www.geognos.com/api/en/countries/flag/CN.png', 'http://www.geognos.com/api/en/countries/flag/BR.png']",['HBO Max'],['https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png']
5,Heat (1995),"['Action', 'Crime', 'Thriller']",heat1995,"['India', 'Brazil']","['http://www.geognos.com/api/en/countries/flag/IN.png', 'http://www.geognos.com/api/en/countries/flag/BR.png']","['Netflix', 'HBO Max']","['https://img.icons8.com/office/50/000000/no-video--v2.png', 'https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png']"
6,Sabrina (1995),"['Comedy', 'Romance']",sabrina1995,['China'],['http://www.geognos.com/api/en/countries/flag/CN.png'],"['Netflix', 'Youtube', 'Amazon Video']","['https://img.icons8.com/office/50/000000/no-video--v2.png', 'https://img.icons8.com/ios/344/video-message.png', 'https://img.icons8.com/material-rounded/452/video-playlist.png']"
7,Tom and Huck (1995),"['Adventure', 'Children']",tomandhuck1995,"['India', 'China']","['http://www.geognos.com/api/en/countries/flag/IN.png', 'http://www.geognos.com/api/en/countries/flag/CN.png']","['Amazon Video', 'Youtube']","['https://img.icons8.com/material-rounded/452/video-playlist.png', 'https://img.icons8.com/ios/344/video-message.png']"
8,Sudden Death (1995),['Action'],suddendeath1995,"['China', 'France']","['http://www.geognos.com/api/en/countries/flag/CN.png', 'http://www.geognos.com/api/en/countries/flag/FR.png']","['HBO Max', 'Amazon Video']","['https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png', 'https://img.icons8.com/material-rounded/452/video-playlist.png']"
9,GoldenEye (1995),"['Action', 'Adventure', 'Thriller']",goldeneye1995,['India'],['http://www.geognos.com/api/en/countries/flag/IN.png'],"['Youtube', 'Amazon Video', 'Netflix']","['https://img.icons8.com/ios/344/video-message.png', 'https://img.icons8.com/material-rounded/452/video-playlist.png', 'https://img.icons8.com/office/50/000000/no-video--v2.png']"
10,"American President, The (1995)","['Comedy', 'Drama', 'Romance']",americanpresidentthe1995,['United Kingdom'],['http://www.geognos.com/api/en/countries/flag/GB.png'],['Amazon Video'],['https://img.icons8.com/material-rounded/452/video-playlist.png']
11,Dracula: Dead and Loving It (1995),"['Comedy', 'Horror']",draculadeadandlovingit1995,"['Portugal', 'United Kingdom']","['http://www.geognos.com/api/en/countries/flag/PT.png', 'http://www.geognos.com/api/en/countries/flag/GB.png']","['Netflix', 'Amazon Video']","['https://img.icons8.com/office/50/000000/no-video--v2.png', 'https://img.icons8.com/material-rounded/452/video-playlist.png']"
12,Balto (1995),"['Adventure', 'Animation', 'Children']",balto1995,['Brazil'],['http://www.geognos.com/api/en/countries/flag/BR.png'],"['Youtube', 'HBO Max']","['https://img.icons8.com/ios/344/video-message.png', 'https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png']"
13,Nixon (1995),['Drama'],nixon1995,"['Portugal', 'Brazil', 'India', 'United States']","['http://www.geognos.com/api/en/countries/flag/PT.png', 'http://www.geognos.com/api/en/countries/flag/BR.png', 'http://www.geognos.com/api/en/countries/flag/IN.png', 'http://www.geognos.com/api/en/countries/flag/US.png']","['Youtube', 'Amazon Video']","['https://img.icons8.com/ios/344/video-message.png', 'https://img.icons8.com/material-rounded/452/video-playlist.png']"
